owner_id,title,location,price/guests,total_price/USD,cleaning_fee,service_fee,only_price,reviews,superhost,guests,bedrooms,beds,bathrooms,thismonth_bookings,nextmonth_bookings,date,datetime,accuracy,communication,cleanliness,locationq,checkin,value,url
34345348,Casa Vikinga 2,Ayampe,406.5,813,0,70,612,Hosted by Miriam Y Damian,0,2,2,1,1,,,2019-06-23,2019-06-23 13:44:36,,,,,,,https://www.airbnb.com/rooms/34345348?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315463_eEEEDzByMQjoUnkk
34844881,Departamento Amoblados,Vilcabamba,206.0,412,0,35,311,Hosted by Alexandra,0,2,2,2,1,,,2019-06-23,2019-06-23 13:45:00,,,,,,,https://www.airbnb.com/rooms/34844881?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315487_5A%2BW%2BJn8Sohq4kfa
35896712,"Mi casa, es tu casa! Siéntete cómodo y seguro.",Francisco de Orellana,94.0,376,0,32,284,Hosted by Iris,0,4,4,2,1,,,2019-06-23,2019-06-23 13:45:24,,,,,,,https://www.airbnb.com/rooms/35896712?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315511_MphXWFOMxIvyQGaR
27852119,Las Acacias B,Ayampe,303.5,607,0,52,458,Hosted by Paty,0,2,2,1,1,,,2019-06-23,2019-06-23 13:45:48,,,,,,,https://www.airbnb.com/rooms/27852119?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315535_v7nyuVMw%2BIWjyvHc
13346616,SUITE AMOBLADA City Suites Luxury cerca CITY MALL,Guayaquil,442.5,885,0,76,667,3,0,2,2,1,1,,,2019-06-23,2019-06-23 13:46:12,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/13346616?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315559_SeLk76%2BycUyg5cCE
18250047,New Private Room next to Los Frailes Beach,Machalilla,347.5,695,0,60,523,92,0,2,2,1,1,,,2019-06-23,2019-06-23 13:46:27,4.5,5.0,4.5,5.0,5.0,,https://www.airbnb.com/rooms/18250047?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315574_cULQOHCHHx%2BGGOFm
35354181,ARTES VIVAS Loja,Loja,60.5,121,0,10,92,Hosted by Mayra,0,2,2,1,1,,,2019-06-23,2019-06-23 13:46:40,,,,,,,https://www.airbnb.com/rooms/35354181?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315588_YQypIERizm%2FdKyF0
28051894,Santa Marianita-Manta Departamento a pasos del mar,Manta,246.67,740,0,64,557,2,0,3,3,2,1,,,2019-06-23,2019-06-23 13:47:04,,,,,,,https://www.airbnb.com/rooms/28051894?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315611_BkxcGWl6UQC9PrTC
23752157,SUITE IN CUENCA best choice to a wonderfulvacation,Cuenca,185.0,555,0,48,418,3,1,3,3,2,1,,,2019-06-23,2019-06-23 13:47:18,4.0,5.0,5.0,4.5,5.0,,https://www.airbnb.com/rooms/23752157?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315635_oUVihgPLZHCGrLpX
33911598,La Libelula,Cuenca,118.8,594,0,51,448,3,0,5,5,2,1,,,2019-06-23,2019-06-23 13:47:33,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/33911598?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315639_4vOvUSrMJwgl0ihP
464195,Studio in the Center of Cuenca.,Cuenca,169.33,508,0,44,382,21,0,3,3,2,1,,,2019-06-23,2019-06-23 13:47:48,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/464195?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315654_FVLbLs22PP4z4Qz9
35846982,"Hospedaje en Quito, sector Bosmediano",Quito,202.0,404,0,35,304,Hosted by Sabrina,0,2,2,1,1,,,2019-06-23,2019-06-23 13:48:02,,,,,,,https://www.airbnb.com/rooms/35846982?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315668_df0KZOIfnhhJA1c7
35795916,El Refugio - Private Room 4,Ayampe,125.33,376,0,32,284,Hosted by Gustavo,0,3,3,2,1,,,2019-06-23,2019-06-23 13:48:27,,,,,,,https://www.airbnb.com/rooms/35795916?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315693_E9NsZqHOwQNp5%2Fns
29941606,Habitación Privada amoblada,Guayaquil,291.0,582,0,50,439,1,0,2,2,1,1,,,2019-06-23,2019-06-23 13:48:52,,,,,,,https://www.airbnb.com/rooms/29941606?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315718_FP9yV4JzqHSac3TD
27477371,Departamento independiente en sector residencial,Loja,243.0,486,0,42,366,Hosted by Ramiro,0,2,2,2,1,,,2019-06-23,2019-06-23 13:49:17,,,,,,,https://www.airbnb.com/rooms/27477371?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315743_Ibj%2BYZGwrOVMptef
21512761,"Habitación completa, cerca USFQ.",Quito,265.0,265,0,23,199,9,0,1,1,1,1,,,2019-06-23,2019-06-23 13:49:43,5.0,4.5,5.0,5.0,4.5,,https://www.airbnb.com/rooms/21512761?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561315768_%2FxtfcMcRVUTaHOU3
